Year,Month,Date,Model,Dealer ID,Quantity Sold,Profit
2018,January,2018-01-01 23:00:00,Beaufort,1222,10,15000
2018,January,2018-01-01 23:00:00,Salish,1222,13,39650
2018,January,2018-01-01 23:00:00,Labrador,1222,16,12800
2018,January,2018-01-01 23:00:00,Champlain,1222,3,6900
2018,January,2018-01-01 23:00:00,Hudson,1222,22,11000
2018,January,2018-01-01 23:00:00,Beaufort,1224,14,21000
2018,January,2018-01-01 23:00:00,Salish,1224,18,54900
2018,January,2018-01-01 23:00:00,Labrador,1224,23,18400
2018,January,2018-01-01 23:00:00,Champlain,1224,5,11500
2018,January,2018-01-01 23:00:00,Hudson,1224,32,16000
2018,January,2018-01-01 23:00:00,Beaufort,1215,13,19500
2018,January,2018-01-01 23:00:00,Salish,1215,17,51850
2018,January,2018-01-01 23:00:00,Labrador,1215,21,16800
2018,January,2018-01-01 23:00:00,Champlain,1215,4,9200
2018,January,2018-01-01 23:00:00,Hudson,1215,30,15000
2018,January,2018-01-01 23:00:00,Beaufort,1301,14,21000
2018,January,2018-01-01 23:00:00,Salish,1301,19,57950
2018,January,2018-01-01 23:00:00,Labrador,1301,24,19200
2018,January,2018-01-01 23:00:00,Champlain,1301,5,11500
2018,January,2018-01-01 23:00:00,Hudson,1301,34,17000
2018,January,2018-01-01 23:00:00,Beaufort,1336,12,18000
2018,January,2018-01-01 23:00:00,Salish,1336,16,48800
2018,January,2018-01-01 23:00:00,Labrador,1336,20,16000
2018,January,2018-01-01 23:00:00,Champlain,1336,4,9200
2018,January,2018-01-01 23:00:00,Hudson,1336,28,14000
2018,January,2018-01-01 23:00:00,Beaufort,1401,11,16500
2018,January,2018-01-01 23:00:00,Salish,1401,15,45750
2018,January,2018-01-01 23:00:00,Labrador,1401,19,15200
2018,January,2018-01-01 23:00:00,Champlain,1401,4,9200
2018,January,2018-01-01 23:00:00,Hudson,1401,27,13500
2018,January,2018-01-01 23:00:00,Beaufort,1402,10,15000
2018,January,2018-01-01 23:00:00,Salish,1402,13,39650
2018,January,2018-01-01 23:00:00,Labrador,1402,17,13600
2018,January,2018-01-01 23:00:00,Champlain,1402,3,6900
2018,January,2018-01-01 23:00:00,Hudson,1402,23,11500
2018,January,2018-01-01 23:00:00,Beaufort,1212,12,18000
2018,January,2018-01-01 23:00:00,Salish,1212,16,48800
2018,January,2018-01-01 23:00:00,Labrador,1212,20,16000
2018,January,2018-01-01 23:00:00,Champlain,1212,4,9200
2018,January,2018-01-01 23:00:00,Hudson,1212,27,13500
2018,January,2018-01-01 23:00:00,Beaufort,1217,12,18000
2018,January,2018-01-01 23:00:00,Salish,1217,16,48800
2018,January,2018-01-01 23:00:00,Labrador,1217,21,16800
2018,January,2018-01-01 23:00:00,Champlain,1217,4,9200
2018,January,2018-01-01 23:00:00,Hudson,1217,29,14500
2018,January,2018-01-01 23:00:00,Beaufort,1288,15,22500
2018,January,2018-01-01 23:00:00,Salish,1288,20,61000
2018,January,2018-01-01 23:00:00,Labrador,1288,25,20000
2018,January,2018-01-01 23:00:00,Champlain,1288,5,11500
2018,January,2018-01-01 23:00:00,Hudson,1288,35,17500
2018,Feburary,2018-02-01 23:00:00,Beaufort,1222,11,16500
2018,Feburary,2018-02-01 23:00:00,Salish,1222,14,42700
2018,Feburary,2018-02-01 23:00:00,Labrador,1222,17,13600
2018,Feburary,2018-02-01 23:00:00,Champlain,1222,3,6900
2018,Feburary,2018-02-01 23:00:00,Hudson,1222,24,12000
2018,Feburary,2018-02-01 23:00:00,Beaufort,1224,15,22500
2018,Feburary,2018-02-01 23:00:00,Salish,1224,19,57950
2018,Feburary,2018-02-01 23:00:00,Labrador,1224,25,20000
2018,Feburary,2018-02-01 23:00:00,Champlain,1224,5,11500
2018,Feburary,2018-02-01 23:00:00,Hudson,1224,34,17000
2018,Feburary,2018-02-01 23:00:00,Beaufort,1215,14,21000
2018,Feburary,2018-02-01 23:00:00,Salish,1215,18,54900
2018,Feburary,2018-02-01 23:00:00,Labrador,1215,22,17600
2018,Feburary,2018-02-01 23:00:00,Champlain,1215,4,9200
2018,Feburary,2018-02-01 23:00:00,Hudson,1215,32,16000
2018,Feburary,2018-02-01 23:00:00,Beaufort,1301,15,22500
2018,Feburary,2018-02-01 23:00:00,Salish,1301,20,61000
2018,Feburary,2018-02-01 23:00:00,Labrador,1301,26,20800
2018,Feburary,2018-02-01 23:00:00,Champlain,1301,5,11500
2018,Feburary,2018-02-01 23:00:00,Hudson,1301,36,18000
2018,Feburary,2018-02-01 23:00:00,Beaufort,1336,13,19500
2018,Feburary,2018-02-01 23:00:00,Salish,1336,17,51850
2018,Feburary,2018-02-01 23:00:00,Labrador,1336,21,16800
2018,Feburary,2018-02-01 23:00:00,Champlain,1336,4,9200
2018,Feburary,2018-02-01 23:00:00,Hudson,1336,30,15000
2018,Feburary,2018-02-01 23:00:00,Beaufort,1401,12,18000
2018,Feburary,2018-02-01 23:00:00,Salish,1401,16,48800
2018,Feburary,2018-02-01 23:00:00,Labrador,1401,20,16000
2018,Feburary,2018-02-01 23:00:00,Champlain,1401,4,9200
2018,Feburary,2018-02-01 23:00:00,Hudson,1401,29,14500
2018,Feburary,2018-02-01 23:00:00,Beaufort,1402,11,16500
2018,Feburary,2018-02-01 23:00:00,Salish,1402,14,42700
2018,Feburary,2018-02-01 23:00:00,Labrador,1402,18,14400
2018,Feburary,2018-02-01 23:00:00,Champlain,1402,3,6900
2018,Feburary,2018-02-01 23:00:00,Hudson,1402,25,12500
2018,Feburary,2018-02-01 23:00:00,Beaufort,1212,13,19500
2018,Feburary,2018-02-01 23:00:00,Salish,1212,17,51850
2018,Feburary,2018-02-01 23:00:00,Labrador,1212,21,16800
2018,Feburary,2018-02-01 23:00:00,Champlain,1212,4,9200
2018,Feburary,2018-02-01 23:00:00,Hudson,1212,29,14500
2018,Feburary,2018-02-01 23:00:00,Beaufort,1217,13,19500
2018,Feburary,2018-02-01 23:00:00,Salish,1217,17,51850
2018,Feburary,2018-02-01 23:00:00,Labrador,1217,22,17600
2018,Feburary,2018-02-01 23:00:00,Champlain,1217,4,9200
2018,Feburary,2018-02-01 23:00:00,Hudson,1217,31,15500
2018,Feburary,2018-02-01 23:00:00,Beaufort,1288,16,24000
2018,Feburary,2018-02-01 23:00:00,Salish,1288,21,64050
2018,Feburary,2018-02-01 23:00:00,Labrador,1288,27,21600
2018,Feburary,2018-02-01 23:00:00,Champlain,1288,5,11500
2018,Feburary,2018-02-01 23:00:00,Hudson,1288,37,18500
2018,March,2018-03-01 23:00:00,Beaufort,1222,12,18000
2018,March,2018-03-01 23:00:00,Salish,1222,15,45750
2018,March,2018-03-01 23:00:00,Labrador,1222,18,14400
2018,March,2018-03-01 23:00:00,Champlain,1222,3,6900
2018,March,2018-03-01 23:00:00,Hudson,1222,25,12500
2018,March,2018-03-01 23:00:00,Beaufort,1224,16,24000
2018,March,2018-03-01 23:00:00,Salish,1224,21,64050
2018,March,2018-03-01 23:00:00,Labrador,1224,26,20800
2018,March,2018-03-01 23:00:00,Champlain,1224,6,13800
2018,March,2018-03-01 23:00:00,Hudson,1224,37,18500
2018,March,2018-03-01 23:00:00,Beaufort,1215,15,22500
2018,March,2018-03-01 23:00:00,Salish,1215,20,61000
2018,March,2018-03-01 23:00:00,Labrador,1215,24,19200
2018,March,2018-03-01 23:00:00,Champlain,1215,5,11500
2018,March,2018-03-01 23:00:00,Hudson,1215,35,17500
